


Falsa posição:
interação|      a       |      b       |      x1      |      ea     |     f(x1)   |
      23 |    08,52414932|    08,60000000|    08,52414932|    00,00000622|    00,00003847|
      24 |    08,52414967|    08,60000000|    08,52414967|    00,00000409|    00,00002528|
      25 |    08,52414990|    08,60000000|    08,52414990|    00,00000269|    00,00001661|
      26 |    08,52415005|    08,60000000|    08,52415005|    00,00000177|    00,00001092|
      27 |    08,52415015|    08,60000000|    08,52415015|    00,00000116|    00,00000718|
      28 |    08,52415021|    08,60000000|    08,52415021|    00,00000076|    00,00000472|
      29 |    08,52415026|    08,60000000|    08,52415026|    00,00000050|    00,00000310|
      30 |    08,52415029|    08,60000000|    08,52415029|    00,00000033|    00,00000204|
      31 |    08,52415030|    08,60000000|    08,52415030|    00,00000022|    00,00000134|
      32 |    08,52415032|    08,60000000|    08,52415032|    00,00000014|    00,00000088|
      33 |    08,52415032|    08,60000000|    08,52415032|    00,00000009|    00,00000058|
      34 |    08,52415033|    08,60000000|    08,52415033|    00,00000006|    00,00000038|
      35 |    08,52415033|    08,60000000|    08,52415033|    00,00000004|    00,00000025|
      36 |    08,52415033|    08,60000000|    08,52415033|    00,00000003|    00,00000016|
      37 |    08,52415034|    08,60000000|    08,52415034|    00,00000002|    00,00000011|
      38 |    08,52415034|    08,60000000|    08,52415034|    00,00000001|    00,00000007|
